gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,some high school,standard,none,69,40,62
female,group A,associate's degree,standard,none,63,71,99
female,group D,some college,standard,completed,0,72,96
male,group A,associate's degree,standard,completed,90,84,96
female,group E,bachelor's degree,standard,none,59,34,56
male,group A,bachelor's degree,standard,none,84,53,27
male,group B,associate's degree,free/reduced,none,90,71,82
female,group B,some college,free/reduced,none,85,81,77
male,group C,bachelor's degree,free/reduced,none,75,40,85
male,group B,associate's degree,free/reduced,completed,44,100,78
male,group E,associate's degree,free/reduced,none,75,55,64
female,group C,some high school,standard,none,30,72,48
female,group D,bachelor's degree,free/reduced,completed,90,89,84
female,group E,some college,standard,completed,66,96,79
male,group D,some high school,standard,none,72,53,84
male,group E,bachelor's degree,free/reduced,completed,60,42,97
female,group D,some college,standard,none,92,70,39
female,group E,high school,standard,none,88,76,86
female,group A,associate's degree,standard,completed,96,82,75
female,group D,bachelor's degree,standard,none,26,77,88
male,group C,some high school,standard,none,69,17,86
female,group B,master's degree,standard,completed,72,41,63
male,group C,some high school,standard,none,39,47,43
female,group E,bachelor's degree,standard,completed,86,38,22
female,group E,high school,standard,none,70,53,53
female,group B,master's degree,free/reduced,none,98,93,93
male,group B,some college,free/reduced,none,80,34,88
female,group E,some high school,standard,completed,88,82,82
female,group D,high school,standard,completed,62,17,62
female,group C,master's degree,free/reduced,none,28,51,64
male,group B,some college,free/reduced,completed,95,59,76
female,group B,some high school,free/reduced,none,0,40,71
female,group E,associate's degree,standard,none,28,97,80
female,group E,master's degree,free/reduced,none,33,34,54
female,group A,some college,standard,completed,94,26,39
male,group D,some college,standard,none,83,31,41
female,group D,some college,standard,completed,63,51,53
female,group C,high school,standard,completed,46,66,42
female,group C,some high school,standard,none,80,64,23
female,group D,master's degree,free/reduced,none,35,39,95
female,group C,some college,standard,completed,38,23,41
female,group E,associate's degree,free/reduced,completed,56,62,89
female,group A,bachelor's degree,standard,completed,81,57,33
female,group C,associate's degree,standard,none,34,80,74
female,group A,some high school,free/reduced,none,38,59,96
male,group A,bachelor's degree,standard,none,68,39,75
female,group D,bachelor's degree,standard,none,43,95,99
male,group D,master's degree,free/reduced,completed,59,31,23
male,group D,high school,free/reduced,none,43,99,15
female,group C,master's degree,free/reduced,completed,30,42,23
female,group D,associate's degree,free/reduced,completed,63,53,63
female,group E,some college,free/reduced,none,74,37,45
female,group D,some college,free/reduced,completed,73,34,88
male,group C,master's degree,standard,none,39,85,99
male,group A,bachelor's degree,standard,none,91,49,40
male,group D,bachelor's degree,free/reduced,none,69,54,79
female,group B,bachelor's degree,standard,completed,44,53,35
male,group C,high school,standard,completed,86,67,15
female,group C,master's degree,standard,completed,53,97,63
male,group D,master's degree,free/reduced,completed,41,59,63
female,group E,some high school,standard,none,74,64,63
female,group D,some college,standard,none,96,96,94
female,group E,bachelor's degree,standard,none,54,80,47
male,group D,some college,free/reduced,none,27,51,87
male,group A,some high school,free/reduced,completed,81,86,52
male,group C,high school,standard,completed,81,31,34
female,group D,master's degree,free/reduced,completed,61,75,98
female,group A,bachelor's degree,standard,none,87,53,55
male,group E,master's degree,standard,completed,32,48,42
female,group E,master's degree,standard,completed,37,85,61
female,group A,some college,standard,completed,68,83,86
male,group C,master's degree,free/reduced,none,75,51,46
female,group C,some high school,standard,none,76,91,39
female,group B,master's degree,free/reduced,none,72,34,75
female,group E,bachelor's degree,standard,completed,93,48,52
female,group B,high school,free/reduced,none,30,44,88
female,group E,associate's degree,standard,none,60,57,15
female,group D,some college,free/reduced,none,26,59,96
female,group D,master's degree,standard,completed,97,89,54
female,group D,some high school,standard,none,79,28,81
female,group D,some high school,free/reduced,none,0,97,78
male,group D,master's degree,standard,none,83,62,44
male,group E,master's degree,free/reduced,none,99,58,60
male,group E,some college,standard,none,54,89,23
male,group B,bachelor's degree,standard,none,98,78,88
male,group E,some college,free/reduced,completed,37,46,74
male,group D,some college,free/reduced,none,66,26,38
female,group E,associate's degree,standard,none,81,53,63
female,group C,some college,standard,none,35,59,63
female,group E,master's degree,free/reduced,completed,50,60,51
male,group A,high school,standard,completed,70,55,86
female,group E,master's degree,standard,completed,40,38,40
male,group C,bachelor's degree,standard,none,30,59,52
female,group E,some college,standard,none,85,45,55
male,group D,bachelor's degree,free/reduced,none,53,97,40
female,group E,associate's degree,standard,none,96,93,62
female,group A,bachelor's degree,standard,none,41,49,82
female,group D,master's degree,free/reduced,completed,75,26,63
male,group C,associate's degree,free/reduced,completed,64,43,54
female,group A,master's degree,standard,completed,60,71,30
female,group B,associate's degree,free/reduced,completed,38,56,39
female,group E,some high school,free/reduced,none,43,59,45
male,group C,some college,standard,completed,81,82,61
male,group E,some high school,free/reduced,none,52,45,64
male,group D,some college,standard,none,0,81,89
male,group D,high school,free/reduced,completed,29,73,78
male,group A,master's degree,standard,completed,88,51,34
female,group C,bachelor's degree,standard,completed,23,66,64
female,group E,some college,standard,completed,76,26,69
female,group D,some college,standard,none,22,83,19
male,group A,some college,standard,completed,38,39,93
female,group D,associate's degree,standard,none,30,54,85
female,group B,master's degree,free/reduced,none,38,73,46
male,group A,master's degree,standard,completed,77,37,10
female,group E,some high school,standard,none,100,94,90
female,group D,some high school,standard,none,94,50,57
female,group E,master's degree,free/reduced,completed,29,62,64
female,group C,some high school,standard,completed,43,95,63
female,group B,bachelor's degree,free/reduced,none,76,60,34
male,group B,some college,standard,completed,18,34,58
male,group E,associate's degree,standard,completed,49,42,88
female,group C,associate's degree,standard,completed,61,81,22
female,group D,bachelor's degree,free/reduced,none,0,90,60
male,group D,high school,standard,completed,55,69,73
female,group E,high school,free/reduced,completed,50,31,27
female,group A,bachelor's degree,standard,completed,94,42,85
male,group C,some college,standard,none,19,45,60
female,group B,master's degree,standard,none,39,51,87
female,group E,master's degree,free/reduced,none,81,23,54
female,group B,some college,standard,none,41,52,61
female,group D,some college,standard,none,51,31,10
female,group B,some college,free/reduced,completed,24,53,27
female,group E,master's degree,standard,none,81,96,67
male,group B,bachelor's degree,standard,none,61,54,76
male,group B,high school,standard,none,19,95,84
male,group C,some high school,standard,none,47,43,34
male,group A,some college,free/reduced,none,87,51,48
female,group E,master's degree,free/reduced,none,90,26,28
female,group D,high school,free/reduced,none,19,74,59
female,group E,some college,standard,completed,62,58,80
female,group E,bachelor's degree,standard,completed,30,61,34
female,group E,some college,standard,completed,97,94,97
female,group E,associate's degree,standard,none,29,34,60
female,group C,some high school,free/reduced,completed,99,81,15
male,group A,bachelor's degree,free/reduced,completed,89,75,73
female,group E,master's degree,standard,completed,75,80,76
