Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID01089,Female,23,Business,76.8,6.8,3.45,7.4,19,3.99
ID04707,Male,24,Business,87.4,6.7,3.49,4.6,4,3.45
ID01319,Male,19,Psychology,59.9,10.6,1.96,5.2,1,2.77
ID02037,Female,19,Psychology,49.5,5.1,3.22,9.8,3,3.21
ID01849,Female,22,Mathematics,60.1,0.4,3.31,5.0,14,1.77
ID04024,Male,23,Mathematics,56.5,4.2,1.89,8.1,14,1.88
ID01648,Male,20,Business,59.1,8.6,2.77,4.6,1,2.54
ID02416,Female,23,Engineering,89.1,13.0,3.32,5.3,18,2.39
ID03489,Male,24,Computer Science,83.0,10.0,3.85,8.7,13,2.62
ID00808,Female,19,Computer Science,72.6,4.3,3.35,8.0,12,3.86
ID01911,Female,21,Computer Science,56.4,4.1,1.63,7.3,19,2.53
ID01609,Female,23,Mathematics,85.6,8.1,2.71,5.6,7,2.71
ID00653,Female,22,Computer Science,61.9,11.3,2.21,5.7,20,3.09
ID02700,Female,23,Psychology,81.8,11.2,1.35,10.0,16,2.94
ID02982,Male,22,Economics,77.6,11.8,3.1,5.1,5,3.78
ID03517,Female,24,Engineering,49.4,0.1,3.12,5.2,0,2.95
ID03080,Female,24,Psychology,77.6,12.3,3.29,9.7,3,2.49
ID02470,Female,19,Business,69.3,10.1,2.4,6.2,15,2.44
ID03833,Female,18,Business,61.9,2.9,1.63,4.1,7,1.99
ID02607,Male,20,Business,63.3,4.4,3.7,7.6,10,2.04
ID04712,Male,20,Business,72.6,3.0,2.71,7.2,5,2.7
ID01030,Female,22,Mathematics,91.2,5.6,2.31,7.9,1,3.03
ID02418,Male,18,Business,63.0,9.1,3.24,4.2,19,3.34
ID02387,Male,19,Economics,88.1,4.7,2.98,6.7,16,3.14
ID03257,Male,22,Economics,72.6,2.0,2.93,6.5,17,3.31
ID03204,Female,23,Economics,75.8,0.1,3.32,6.4,2,3.52
ID04758,Female,23,Mathematics,72.7,4.0,2.06,5.1,3,2.62
ID03115,Male,22,Mathematics,82.2,4.6,2.61,8.1,16,2.03
ID01492,Male,24,Psychology,91.1,4.2,2.41,4.1,6,2.74
ID04670,Female,23,Business,50.1,4.1,2.98,6.0,16,2.73
ID03394,Male,20,Psychology,92.7,3.9,2.61,5.3,5,3.81
ID01759,Male,19,Computer Science,53.0,10.0,2.77,9.3,14,2.85
ID02087,Female,24,Computer Science,98.3,5.2,3.53,9.2,0,3.63
ID01204,Male,19,Computer Science,71.1,3.4,3.31,8.3,6,2.81
ID02306,Female,18,Mathematics,73.1,3.2,2.09,9.7,15,3.33
ID04267,Male,24,Mathematics,98.2,3.9,3.56,8.2,12,3.49
ID03794,Female,24,Business,34.4,7.1,2.67,8.6,16,3.02
ID02251,Female,18,Computer Science,69.4,4.4,1.96,7.0,15,2.13
ID01083,Male,20,Economics,72.3,12.4,2.42,8.9,15,2.22
ID02347,Female,20,Economics,92.7,0.3,2.16,8.8,13,3.74
ID00509,Male,23,Engineering,41.4,0.3,3.21,7.6,8,3.49
ID01310,Male,19,Computer Science,93.7,1.5,2.0,5.6,1,3.86
ID01821,Female,19,Engineering,75.8,6.6,3.9,7.9,16,2.62
ID01828,Male,24,Psychology,83.3,11.8,1.95,5.4,10,1.6
ID00816,Female,18,Computer Science,44.1,3.8,3.43,7.3,3,2.99
ID01887,Male,23,Engineering,61.3,11.3,3.48,9.0,1,1.6
ID00722,Female,22,Mathematics,55.1,7.6,3.74,6.3,1,3.46
ID01950,Female,21,Business,67.6,2.9,3.87,6.1,8,3.66
ID02952,Male,21,Economics,54.7,8.0,1.89,4.4,17,2.3
ID02930,Female,20,Business,77.7,9.2,2.35,7.7,5,1.87
ID03200,Female,18,Psychology,57.4,1.6,1.88,4.4,20,1.95
ID04644,Female,18,Psychology,71.3,1.0,3.64,6.7,12,2.58
ID00189,Male,22,Economics,74.6,7.5,1.82,6.1,13,3.37
ID00476,Male,21,Business,69.6,1.1,2.2,5.2,7,3.2
ID04729,Male,18,Psychology,73.5,5.8,2.93,6.7,18,1.72
