code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
CCC,2013J,185496,F,East Midlands Region,A Level or Equivalent,10-20,0-35,1,420,N,Pass
DDD,2014B,613161,M,Yorkshire Region,No Formal quals,N/A,35-55,1,40,N,Pass
EEE,2014J,592737,M,East Midlands Region,Lower Than A Level,N/A,0-35,5,310,N,Withdrawn
BBB,2014B,593670,M,North Region,Lower Than A Level,N/A,35-55,1,480,N,Pass
CCC,2014J,590548,M,London Region,HE Qualification,50-60%,0-35,3,175,N,Pass
DDD,2014B,489889,F,West Midlands Region,No Formal quals,10-20,35-55,0,215,N,Pass
DDD,2014B,544880,F,Wales,HE Qualification,20-30%,35-55,0,40,N,Pass
EEE,2014B,482556,M,London Region,HE Qualification,30-40%,35-55,4,180,Y,Fail
BBB,2014J,405426,M,London Region,A Level or Equivalent,50-60%,35-55,0,155,Y,Pass
DDD,2014J,614871,F,Wales,HE Qualification,40-50%,55<=,0,355,N,Pass
EEE,2014B,527227,F,South West Region,A Level or Equivalent,0-10%,35-55,0,140,N,Withdrawn
DDD,2014J,631486,F,West Midlands Region,A Level or Equivalent,50-60%,55<=,0,205,N,Withdrawn
BBB,2014J,596728,F,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Distinction
GGG,2014B,519969,M,Ireland,Lower Than A Level,0-10%,0-35,2,95,Y,Pass
DDD,2013B,572538,M,East Anglian Region,No Formal quals,40-50%,35-55,0,330,N,Withdrawn
BBB,2013B,388947,M,South West Region,Lower Than A Level,20-30%,55<=,1,135,Y,Pass
EEE,2013B,647762,M,East Anglian Region,Lower Than A Level,80-90%,35-55,1,130,N,Withdrawn
DDD,2014J,101420,F,London Region,A Level or Equivalent,20-30%,55<=,5,100,N,Pass
BBB,2014J,507113,F,London Region,A Level or Equivalent,10-20,35-55,3,60,Y,Fail
GGG,2014B,623780,F,Wales,Post Graduate Qualification,30-40%,0-35,4,75,N,Pass
AAA,2014B,2530985,F,West Midlands Region,Lower Than A Level,40-50%,55<=,1,175,N,Fail
GGG,2014J,482145,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,5,585,N,Withdrawn
GGG,2013J,357820,F,South East Region,Post Graduate Qualification,40-50%,0-35,5,75,Y,Fail
AAA,2014J,599737,F,West Midlands Region,A Level or Equivalent,40-50%,55<=,5,150,N,Fail
BBB,2014J,496085,M,Scotland,A Level or Equivalent,70-80%,55<=,0,30,N,Fail
BBB,2013J,481538,M,Wales,A Level or Equivalent,20-30%,0-35,0,360,N,Withdrawn
DDD,2014J,470159,F,South East Region,A Level or Equivalent,40-50%,0-35,6,200,N,Distinction
BBB,2013J,608851,M,South East Region,A Level or Equivalent,70-80%,0-35,3,195,N,Pass
CCC,2013J,597415,F,South Region,No Formal quals,20-30%,0-35,5,90,Y,Pass
CCC,2014J,682414,F,London Region,A Level or Equivalent,30-40%,0-35,0,270,Y,Pass
BBB,2014J,648564,F,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
CCC,2014J,375711,F,East Midlands Region,Lower Than A Level,40-50%,55<=,0,150,N,Pass
GGG,2014B,195234,F,East Midlands Region,Lower Than A Level,10-20,55<=,3,315,Y,Fail
AAA,2014J,545951,M,London Region,Lower Than A Level,80-90%,0-35,0,105,N,Fail
EEE,2014J,600671,F,East Midlands Region,Post Graduate Qualification,90-100%,35-55,6,310,Y,Withdrawn
BBB,2013J,2648206,F,South West Region,A Level or Equivalent,0-10%,0-35,0,190,N,Fail
FFF,2014J,406254,F,West Midlands Region,Lower Than A Level,20-30%,35-55,0,90,Y,Pass
CCC,2014B,601857,M,East Midlands Region,A Level or Equivalent,20-30%,55<=,0,190,N,Pass
DDD,2014J,605005,M,Ireland,A Level or Equivalent,10-20,35-55,0,50,N,Pass
BBB,2014J,611580,M,South East Region,A Level or Equivalent,60-70%,0-35,0,110,N,Fail
GGG,2013J,2679694,F,South East Region,A Level or Equivalent,0-10%,55<=,5,70,N,Withdrawn
