gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,master's degree,standard,none,27,83,44
male,group E,associate's degree,free/reduced,none,79,61,48
female,group E,some high school,standard,completed,36,88,35
female,group C,bachelor's degree,free/reduced,completed,49,29,59
female,group C,master's degree,standard,none,57,54,56
male,group C,associate's degree,free/reduced,completed,74,68,67
male,group E,bachelor's degree,free/reduced,none,70,46,81
male,group D,some high school,standard,none,57,74,99
male,group C,associate's degree,standard,none,52,70,94
female,group C,master's degree,standard,none,70,49,46
male,group D,high school,standard,completed,42,67,10
male,group D,bachelor's degree,free/reduced,completed,30,29,56
female,group D,associate's degree,standard,none,89,69,34
male,group A,high school,free/reduced,none,0,44,84
female,group A,some high school,free/reduced,none,18,48,28
male,group C,some college,standard,none,93,37,59
female,group D,associate's degree,standard,none,70,77,53
female,group C,master's degree,standard,completed,90,51,85
male,group E,some high school,standard,none,95,96,93
female,group E,associate's degree,standard,completed,39,77,94
female,group C,associate's degree,standard,completed,72,99,53
male,group B,some college,standard,completed,85,72,68
male,group E,high school,standard,none,76,77,59
female,group B,associate's degree,standard,completed,94,84,57
female,group C,some high school,standard,completed,44,71,35
male,group B,associate's degree,standard,none,30,61,87
male,group E,bachelor's degree,standard,none,93,78,50
female,group C,some college,standard,none,60,59,28
male,group D,bachelor's degree,free/reduced,none,86,45,99
female,group E,associate's degree,free/reduced,completed,49,50,99
male,group E,some high school,standard,none,54,46,78
male,group E,master's degree,standard,none,99,65,55
male,group C,associate's degree,free/reduced,completed,37,81,71
male,group C,some college,standard,none,24,49,38
female,group E,some college,standard,none,19,31,58
male,group E,some high school,standard,completed,41,45,63
female,group C,associate's degree,free/reduced,none,94,95,85
female,group D,master's degree,standard,none,32,38,82
male,group E,master's degree,free/reduced,none,32,23,39
male,group C,associate's degree,free/reduced,none,18,38,38
female,group A,high school,standard,none,41,52,36
female,group C,associate's degree,standard,completed,23,48,36
male,group E,some college,standard,none,46,47,68
female,group C,master's degree,free/reduced,none,35,45,97
female,group D,high school,standard,completed,47,89,52
female,group D,some high school,free/reduced,completed,53,54,72
female,group B,associate's degree,standard,none,87,100,72
female,group C,high school,standard,none,74,83,44
