code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
AAA,2013B,611999,F,North Region,A Level or Equivalent,10-20,0-35,5,370,Y,Fail
BBB,2013J,642139,M,Scotland,A Level or Equivalent,0-10%,0-35,3,480,N,Withdrawn
BBB,2014B,691465,M,South East Region,No Formal quals,0-10%,55<=,3,205,N,Pass
AAA,2014B,601435,M,East Anglian Region,Lower Than A Level,10-20,0-35,3,50,N,Withdrawn
BBB,2013J,556463,M,North Western Region,A Level or Equivalent,0-10%,35-55,6,310,Y,Withdrawn
BBB,2013J,572098,M,Scotland,A Level or Equivalent,N/A,0-35,0,480,N,Distinction
AAA,2013J,501871,M,London Region,Lower Than A Level,10-20,35-55,0,360,N,Withdrawn
GGG,2014B,232600,F,South Region,No Formal quals,0-10%,35-55,0,170,N,Pass
GGG,2014J,623457,M,South East Region,Post Graduate Qualification,20-30%,55<=,0,540,N,Distinction
DDD,2013J,628181,F,London Region,HE Qualification,80-90%,0-35,1,255,N,Withdrawn
EEE,2014B,577950,M,North Western Region,Lower Than A Level,30-40%,0-35,1,40,N,Withdrawn
BBB,2014B,83219,M,North Western Region,HE Qualification,20-30%,0-35,6,170,Y,Withdrawn
DDD,2014J,559606,M,South Region,No Formal quals,70-80%,35-55,5,165,N,Fail
BBB,2014J,594627,M,East Midlands Region,Post Graduate Qualification,10-20,0-35,1,200,N,Distinction
BBB,2014J,61297,F,North Western Region,No Formal quals,40-50%,55<=,3,140,N,Distinction
DDD,2014J,2526493,F,North Region,A Level or Equivalent,90-100%,0-35,0,170,Y,Withdrawn
FFF,2014B,354984,M,South West Region,A Level or Equivalent,30-40%,35-55,6,420,Y,Fail
GGG,2013J,482356,M,Ireland,Lower Than A Level,80-90%,0-35,0,30,Y,Pass
EEE,2014B,534854,M,South Region,A Level or Equivalent,90-100%,0-35,3,175,N,Distinction
BBB,2014J,552057,F,London Region,A Level or Equivalent,80-90%,0-35,2,180,N,Pass
FFF,2014J,553502,M,West Midlands Region,Lower Than A Level,10-20,35-55,0,540,N,Fail
BBB,2014B,479020,F,South East Region,No Formal quals,40-50%,55<=,2,45,N,Withdrawn
AAA,2013J,559697,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,540,N,Pass
FFF,2013J,586423,F,East Midlands Region,No Formal quals,60-70%,55<=,1,45,Y,Withdrawn
BBB,2013J,585709,M,London Region,A Level or Equivalent,20-30%,35-55,2,150,N,Withdrawn
CCC,2014J,677356,M,South Region,Lower Than A Level,80-90%,0-35,2,120,N,Withdrawn
GGG,2013B,272580,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,6,120,N,Fail
FFF,2013B,2636552,M,East Anglian Region,A Level or Equivalent,0-10%,55<=,2,90,N,Pass
GGG,2013J,471925,M,South Region,HE Qualification,90-100%,0-35,2,145,N,Withdrawn
GGG,2013J,557752,F,South West Region,A Level or Equivalent,70-80%,35-55,0,120,Y,Pass
CCC,2013B,592233,M,West Midlands Region,Lower Than A Level,20-30%,55<=,0,70,N,Distinction
DDD,2013B,698509,F,Scotland,A Level or Equivalent,60-70%,35-55,4,540,Y,Distinction
AAA,2014J,554256,M,Ireland,A Level or Equivalent,90-100%,0-35,2,140,N,Distinction
CCC,2014J,201431,F,West Midlands Region,HE Qualification,90-100%,0-35,1,60,N,Distinction
GGG,2014J,519995,F,Yorkshire Region,A Level or Equivalent,0-10%,55<=,2,325,N,Pass
BBB,2014J,550960,F,South Region,HE Qualification,20-30%,0-35,1,60,N,Pass
EEE,2013J,341470,M,South West Region,HE Qualification,N/A,0-35,4,190,N,Pass
GGG,2014B,589326,M,East Anglian Region,Post Graduate Qualification,50-60%,0-35,1,70,N,Withdrawn
BBB,2013B,264152,M,Scotland,A Level or Equivalent,40-50%,35-55,2,330,N,Fail
FFF,2014J,595436,M,East Midlands Region,A Level or Equivalent,N/A,35-55,0,30,Y,Pass
BBB,2014J,250123,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,3,90,N,Pass
DDD,2014J,585731,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,2,345,Y,Pass
FFF,2014B,382051,F,South West Region,Lower Than A Level,0-10%,55<=,4,655,Y,Fail
GGG,2014J,586494,M,South West Region,Lower Than A Level,60-70%,0-35,0,155,Y,Pass
GGG,2014J,567754,F,Scotland,A Level or Equivalent,10-20,35-55,0,155,N,Withdrawn
FFF,2014J,360266,F,North Western Region,A Level or Equivalent,60-70%,35-55,0,40,Y,Withdrawn
DDD,2013J,633118,M,East Midlands Region,A Level or Equivalent,10-20,55<=,3,630,Y,Distinction
FFF,2014J,287309,M,West Midlands Region,HE Qualification,90-100%,0-35,4,110,N,Fail
BBB,2013J,581606,F,South East Region,A Level or Equivalent,80-90%,0-35,0,300,N,Pass
GGG,2014B,558820,F,London Region,A Level or Equivalent,40-50%,0-35,2,330,N,Pass
GGG,2014J,566814,M,Ireland,A Level or Equivalent,40-50%,55<=,3,180,N,Pass
GGG,2014J,342017,M,North Region,No Formal quals,60-70%,0-35,2,420,Y,Withdrawn
GGG,2013B,598215,M,North Region,Lower Than A Level,20-30%,55<=,5,135,Y,Pass
DDD,2014J,2630284,F,North Region,A Level or Equivalent,10-20,0-35,6,140,N,Withdrawn
GGG,2013J,491792,M,South West Region,A Level or Equivalent,0-10%,0-35,2,85,Y,Pass
CCC,2014B,557622,M,Scotland,Lower Than A Level,0-10%,55<=,4,55,Y,Distinction
GGG,2014J,560670,F,Scotland,A Level or Equivalent,20-30%,0-35,4,240,N,Withdrawn
GGG,2014J,412663,M,Scotland,A Level or Equivalent,20-30%,55<=,5,170,Y,Pass
DDD,2013J,608152,F,South Region,No Formal quals,40-50%,35-55,6,140,N,Pass
FFF,2014B,625477,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,1,120,N,Withdrawn
FFF,2014J,73874,M,Scotland,A Level or Equivalent,80-90%,35-55,0,315,Y,Pass
GGG,2014B,70569,M,South West Region,A Level or Equivalent,30-40%,35-55,5,220,Y,Pass
GGG,2014J,547609,F,North Western Region,No Formal quals,40-50%,0-35,0,280,Y,Fail
BBB,2014J,619288,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
FFF,2013J,621442,M,South East Region,Lower Than A Level,20-30%,55<=,5,65,Y,Withdrawn
FFF,2014B,390026,F,North Region,HE Qualification,60-70%,55<=,0,225,N,Fail
BBB,2014J,582275,M,Wales,A Level or Equivalent,60-70%,35-55,0,140,N,Fail
FFF,2013B,1861445,M,Scotland,A Level or Equivalent,80-90%,0-35,6,100,Y,Distinction
CCC,2013J,412431,M,Wales,A Level or Equivalent,80-90%,35-55,0,420,Y,Distinction
GGG,2014J,689763,F,North Western Region,A Level or Equivalent,0-10%,0-35,5,235,N,Fail
GGG,2014B,632378,M,South Region,A Level or Equivalent,N/A,0-35,3,150,N,Fail
GGG,2014B,485439,F,Yorkshire Region,Lower Than A Level,90-100%,0-35,4,255,Y,Withdrawn
GGG,2014B,592689,M,South East Region,Lower Than A Level,0-10%,35-55,6,60,N,Withdrawn
FFF,2014J,249359,F,North Western Region,Lower Than A Level,40-50%,35-55,5,390,N,Withdrawn
EEE,2013J,624156,F,East Anglian Region,Lower Than A Level,10-20,55<=,1,400,N,Withdrawn
BBB,2014J,579011,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,270,N,Withdrawn
FFF,2014J,553382,F,South Region,A Level or Equivalent,30-40%,0-35,4,60,Y,Pass
CCC,2014J,535542,M,Ireland,No Formal quals,70-80%,35-55,4,45,N,Fail
FFF,2013B,694510,F,London Region,A Level or Equivalent,50-60%,0-35,5,50,N,Withdrawn
AAA,2014J,512330,F,Ireland,HE Qualification,80-90%,55<=,3,345,N,Withdrawn
GGG,2014J,611004,M,South East Region,Lower Than A Level,60-70%,35-55,5,240,Y,Pass
GGG,2014J,204182,M,North Western Region,Lower Than A Level,N/A,0-35,4,60,N,Pass
FFF,2013J,496845,F,South West Region,A Level or Equivalent,50-60%,35-55,2,655,Y,Pass
BBB,2013J,653988,M,London Region,Lower Than A Level,N/A,55<=,0,115,N,Pass
BBB,2014J,480225,F,North Western Region,Lower Than A Level,60-70%,0-35,1,135,N,Pass
EEE,2013B,605538,M,East Midlands Region,Post Graduate Qualification,50-60%,0-35,3,45,N,Distinction
GGG,2014J,642201,M,Scotland,A Level or Equivalent,30-40%,0-35,4,90,N,Pass
EEE,2013B,289009,M,Wales,HE Qualification,50-60%,0-35,4,45,N,Withdrawn
BBB,2013J,169008,F,North Western Region,Lower Than A Level,0-10%,0-35,2,135,N,Fail
FFF,2013B,1978492,F,Ireland,A Level or Equivalent,10-20,0-35,4,150,Y,Distinction
GGG,2014B,556246,M,South Region,A Level or Equivalent,70-80%,55<=,6,105,Y,Withdrawn
GGG,2014J,557840,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,5,325,N,Fail
BBB,2014J,629405,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,1,250,N,Pass
BBB,2014J,549334,M,South West Region,A Level or Equivalent,40-50%,0-35,2,655,Y,Withdrawn
FFF,2014B,64777,F,South East Region,Lower Than A Level,60-70%,55<=,2,120,N,Pass
AAA,2013J,514852,M,North Western Region,A Level or Equivalent,10-20,55<=,3,200,N,Withdrawn
GGG,2014J,559452,F,South East Region,A Level or Equivalent,80-90%,0-35,4,50,N,Distinction
DDD,2013B,631569,M,East Anglian Region,Lower Than A Level,10-20,0-35,1,30,Y,Withdrawn
AAA,2013J,492254,F,West Midlands Region,HE Qualification,10-20,35-55,4,400,N,Pass
AAA,2014J,503469,M,South Region,A Level or Equivalent,40-50%,0-35,0,205,N,Pass
FFF,2014J,697192,M,Ireland,A Level or Equivalent,0-10%,55<=,4,135,N,Withdrawn
GGG,2013J,322641,M,Wales,No Formal quals,70-80%,55<=,1,85,N,Pass
BBB,2013J,1804143,M,South East Region,A Level or Equivalent,40-50%,35-55,1,280,N,Withdrawn
GGG,2014J,2583997,M,Yorkshire Region,HE Qualification,90-100%,35-55,3,115,N,Pass
GGG,2014J,472586,M,North Region,No Formal quals,N/A,0-35,6,400,Y,Pass
AAA,2014J,644188,F,East Anglian Region,No Formal quals,80-90%,0-35,2,30,Y,Distinction
EEE,2014J,608306,F,East Anglian Region,No Formal quals,20-30%,35-55,5,585,Y,Fail
DDD,2014B,28418,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,250,Y,Pass
EEE,2014B,495377,F,West Midlands Region,A Level or Equivalent,40-50%,55<=,6,40,Y,Fail
CCC,2013J,547876,F,London Region,A Level or Equivalent,30-40%,0-35,1,30,Y,Pass
DDD,2014J,611905,F,North Western Region,Lower Than A Level,60-70%,35-55,3,135,N,Fail
GGG,2014J,635079,M,Scotland,Lower Than A Level,10-20,35-55,1,30,Y,Pass
GGG,2014J,554290,F,Ireland,A Level or Equivalent,40-50%,35-55,4,45,Y,Pass
CCC,2013J,412772,F,Ireland,A Level or Equivalent,80-90%,55<=,2,180,N,Withdrawn
FFF,2014B,427321,M,Scotland,No Formal quals,70-80%,0-35,3,150,N,Withdrawn
CCC,2013J,637123,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,2,110,N,Pass
EEE,2013B,629696,M,Scotland,Post Graduate Qualification,50-60%,0-35,0,280,Y,Fail
DDD,2013B,296849,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,5,585,N,Withdrawn
GGG,2013J,197730,F,Scotland,HE Qualification,60-70%,35-55,1,310,N,Fail
BBB,2014B,635788,F,North Western Region,A Level or Equivalent,N/A,0-35,3,190,Y,Distinction
BBB,2014J,631240,F,Yorkshire Region,Lower Than A Level,50-60%,0-35,1,235,N,Withdrawn
AAA,2013J,527619,M,London Region,A Level or Equivalent,N/A,0-35,0,370,Y,Withdrawn
CCC,2014J,624407,F,London Region,A Level or Equivalent,90-100%,0-35,0,150,N,Distinction
GGG,2014J,169297,M,London Region,HE Qualification,50-60%,0-35,2,360,N,Distinction
FFF,2014B,682819,M,East Midlands Region,No Formal quals,0-10%,55<=,1,240,N,Distinction
DDD,2014B,629853,M,East Midlands Region,HE Qualification,20-30%,0-35,2,65,N,Pass
AAA,2013B,543340,M,Ireland,Lower Than A Level,30-40%,55<=,0,85,Y,Distinction
DDD,2013J,151697,M,South West Region,Lower Than A Level,20-30%,35-55,6,105,N,Withdrawn
FFF,2013J,442618,M,Wales,HE Qualification,90-100%,0-35,6,50,N,Pass
BBB,2014B,558760,F,North Western Region,A Level or Equivalent,20-30%,0-35,6,430,N,Pass
BBB,2013J,691519,M,Wales,No Formal quals,0-10%,55<=,0,195,Y,Withdrawn
BBB,2014J,234031,F,East Midlands Region,Post Graduate Qualification,60-70%,0-35,3,100,N,Fail
FFF,2014B,2077023,M,North Region,HE Qualification,30-40%,35-55,5,330,Y,Pass
CCC,2013B,298034,F,East Anglian Region,A Level or Equivalent,70-80%,55<=,4,75,Y,Distinction
FFF,2013J,579255,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,145,N,Fail
GGG,2014J,282193,F,North Region,No Formal quals,60-70%,0-35,0,110,Y,Pass
FFF,2014B,653944,M,East Midlands Region,Lower Than A Level,40-50%,55<=,0,360,N,Fail
AAA,2014J,482513,M,Wales,A Level or Equivalent,N/A,55<=,5,355,N,Distinction
DDD,2013J,490530,M,North Western Region,HE Qualification,90-100%,55<=,0,85,N,Distinction
CCC,2013J,681964,M,Scotland,Lower Than A Level,90-100%,35-55,5,360,N,Fail
GGG,2014J,640701,F,London Region,Lower Than A Level,0-10%,35-55,0,45,N,Withdrawn
BBB,2014J,683699,F,South Region,Lower Than A Level,80-90%,35-55,0,70,Y,Withdrawn
BBB,2013B,523392,M,West Midlands Region,A Level or Equivalent,40-50%,55<=,0,360,N,Pass
DDD,2013J,598760,F,Ireland,A Level or Equivalent,40-50%,35-55,5,120,N,Pass
GGG,2013B,679373,F,South East Region,A Level or Equivalent,10-20,35-55,2,420,N,Pass
BBB,2013J,633331,M,North Region,A Level or Equivalent,0-10%,35-55,0,85,N,Pass
FFF,2014J,582250,M,South West Region,HE Qualification,40-50%,55<=,2,330,Y,Distinction
GGG,2014J,409276,F,North Western Region,Lower Than A Level,10-20,55<=,0,90,Y,Withdrawn
FFF,2014J,605144,F,North Region,HE Qualification,90-100%,35-55,4,75,Y,Distinction
EEE,2013J,1494577,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,5,210,N,Withdrawn
FFF,2013J,478496,F,North Region,HE Qualification,90-100%,35-55,0,120,Y,Fail
GGG,2013J,624679,M,Scotland,A Level or Equivalent,30-40%,0-35,2,45,N,Withdrawn
BBB,2014B,2560595,F,East Midlands Region,Lower Than A Level,0-10%,35-55,5,115,Y,Pass
FFF,2014B,471711,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,4,400,N,Pass
AAA,2014B,160934,M,Scotland,Lower Than A Level,70-80%,35-55,3,90,N,Distinction
BBB,2014J,587906,M,West Midlands Region,Post Graduate Qualification,90-100%,35-55,5,235,Y,Pass
BBB,2014J,2613116,M,East Anglian Region,HE Qualification,N/A,55<=,0,145,N,Pass
BBB,2013J,330994,F,East Midlands Region,HE Qualification,10-20,0-35,6,40,Y,Pass
CCC,2013B,476709,F,Scotland,No Formal quals,10-20,0-35,0,215,N,Withdrawn
FFF,2013J,294381,M,East Anglian Region,Post Graduate Qualification,30-40%,35-55,0,30,N,Distinction
EEE,2013J,2679386,M,Scotland,A Level or Equivalent,30-40%,0-35,2,330,N,Distinction
FFF,2014J,340378,F,North Western Region,A Level or Equivalent,20-30%,0-35,6,315,N,Withdrawn
