Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID02891,Female,22,Psychology,49.7,5.3,3.98,4.0,10,2.94
ID01361,Male,22,Business,87.5,11.4,2.93,9.8,2,3.19
ID03269,Male,21,Computer Science,57.1,1.7,3.11,4.7,19,3.29
ID02579,Male,22,Business,91.7,10.2,2.61,9.1,2,2.99
ID00556,Female,20,Engineering,83.5,6.9,3.54,5.7,3,2.73
ID03430,Female,24,Business,77.8,6.3,2.85,5.7,15,1.78
ID04039,Female,18,Engineering,75.4,11.8,3.5,8.3,10,2.78
ID04555,Male,22,Engineering,80.1,5.2,1.87,7.6,15,2.39
ID03492,Female,21,Business,96.8,8.7,3.54,7.7,18,2.72
ID02450,Male,18,Business,43.8,10.7,3.56,8.7,16,2.31
ID00251,Male,19,Psychology,72.1,9.4,2.77,9.0,17,3.47
ID04985,Male,19,Economics,70.1,0.8,3.25,8.2,2,3.4
ID03899,Female,19,Business,76.6,11.6,2.08,9.0,3,3.75
ID00629,Male,21,Economics,59.4,10.5,2.49,9.0,5,3.33
ID00544,Female,22,Business,76.4,10.2,3.2,7.6,5,1.98
ID03711,Female,21,Engineering,76.9,9.1,3.03,6.8,12,2.3
ID04194,Male,19,Engineering,64.8,7.3,2.46,9.6,4,3.86
ID03384,Male,20,Psychology,44.4,7.7,2.58,4.5,0,3.84
ID01171,Male,22,Mathematics,91.4,4.1,1.91,9.6,12,2.76
ID04912,Female,20,Computer Science,89.3,11.4,1.83,6.4,19,3.98
ID04342,Male,21,Psychology,59.2,6.2,3.74,6.5,7,3.85
ID00785,Male,20,Business,76.0,10.3,3.31,5.4,18,1.66
ID04095,Male,20,Mathematics,96.3,10.2,3.16,5.0,7,3.37
ID01222,Male,21,Computer Science,83.1,10.1,2.73,5.1,7,2.31
ID04103,Male,22,Engineering,55.9,3.0,2.97,6.3,15,2.52
ID04443,Male,20,Mathematics,61.4,5.6,3.63,4.3,15,2.14
ID03426,Male,23,Business,84.3,9.6,3.19,7.8,15,3.89
ID02902,Female,21,Engineering,39.7,11.1,2.57,9.7,13,3.45
ID01309,Female,20,Business,79.1,1.5,2.49,9.8,3,2.56
ID03619,Male,21,Psychology,54.1,2.8,2.95,6.7,15,2.35
ID02782,Male,23,Economics,85.8,7.4,2.42,4.4,8,3.01
ID03481,Male,22,Business,79.3,7.5,3.37,9.8,12,2.83
ID00610,Male,20,Economics,76.1,2.3,3.9,6.4,5,2.84
ID02572,Male,23,Engineering,58.4,10.9,2.97,7.9,17,2.15
ID04417,Female,20,Computer Science,55.1,7.4,3.75,5.1,19,1.78
ID04023,Female,18,Psychology,55.1,4.3,2.93,4.8,2,2.02
ID01354,Male,18,Mathematics,99.2,8.6,1.96,10.0,3,1.6
ID02226,Female,20,Economics,65.8,7.1,3.68,4.6,19,2.53
ID04210,Female,19,Engineering,61.5,2.5,3.54,9.3,8,2.39
ID01127,Male,24,Engineering,85.2,10.9,2.09,6.3,16,1.84
ID00023,Male,23,Mathematics,70.5,4.6,1.85,5.2,17,1.57
