Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID02387,Male,21,Economics,77.8,2.4,3.74,4.1,3,1.88
ID00703,Male,24,Mathematics,85.8,8.9,1.83,7.1,0,2.08
ID03432,Male,18,Psychology,59.6,7.8,2.43,7.0,17,3.67
ID01643,Female,20,Business,78.1,5.4,3.65,6.6,9,2.13
ID04535,Female,20,Psychology,76.0,12.9,1.65,7.5,0,2.42
ID00215,Female,22,Business,98.9,10.0,2.48,8.1,9,2.44
ID00083,Male,23,Engineering,93.0,8.7,2.27,7.3,6,2.03
ID04794,Female,20,Psychology,53.5,13.2,2.75,4.0,8,3.04
ID02674,Male,23,Computer Science,54.5,6.5,3.41,6.3,15,3.85
ID02130,Male,23,Psychology,78.9,11.9,4.0,4.2,3,2.33
ID00146,Female,18,Computer Science,71.3,7.1,3.03,7.0,3,3.26
ID04020,Female,24,Economics,92.9,7.7,2.99,8.1,8,3.84
ID04947,Female,20,Psychology,69.1,7.6,2.4,5.1,17,3.8
ID00857,Female,19,Computer Science,57.5,11.4,3.31,8.4,12,2.25
ID04136,Female,20,Computer Science,43.8,2.2,2.82,9.6,7,1.57
ID04507,Female,23,Economics,66.4,7.8,3.06,5.9,4,1.87
ID02664,Male,22,Psychology,74.6,11.8,2.46,5.8,0,2.56
ID02059,Female,22,Business,85.5,6.3,3.17,9.9,6,2.85
ID02043,Male,22,Engineering,61.0,12.7,1.71,9.9,6,2.98
ID04135,Female,18,Mathematics,54.3,11.1,2.73,4.0,20,2.03
ID02071,Female,22,Engineering,76.2,7.9,3.54,8.9,11,3.08
ID00837,Female,21,Engineering,96.8,1.8,3.22,9.1,20,1.43
ID02147,Male,20,Psychology,86.4,3.6,1.97,5.0,18,2.71
ID02814,Male,20,Psychology,85.0,5.8,3.88,6.2,4,2.63
ID04609,Female,23,Mathematics,87.3,8.2,1.78,9.9,2,3.83
ID02625,Male,22,Computer Science,76.7,4.4,2.71,6.4,7,3.65
ID00273,Male,19,Mathematics,76.4,3.4,2.99,5.7,2,3.82
ID01742,Male,19,Psychology,43.0,8.3,3.31,9.5,16,2.43
ID00876,Male,22,Business,57.5,10.9,2.1,8.1,7,2.56
ID01186,Female,22,Economics,51.7,0.6,3.52,7.6,14,2.13
ID03539,Female,19,Business,79.5,14.0,2.48,9.7,8,2.83
ID02744,Female,23,Computer Science,96.8,2.1,3.23,6.0,8,3.04
ID01173,Male,19,Psychology,87.2,9.1,3.24,6.0,15,1.66
ID04753,Male,19,Business,72.4,3.7,2.93,5.9,20,3.65
ID04621,Male,21,Engineering,75.6,9.2,3.87,7.1,5,3.25
ID00896,Female,21,Psychology,59.8,11.0,1.89,9.1,3,3.39
ID04635,Male,22,Business,76.0,10.0,2.6,5.2,16,2.15
ID00781,Male,18,Computer Science,70.0,2.9,2.47,6.4,6,2.17
ID01288,Female,19,Economics,87.9,6.1,3.2,6.8,7,2.69
ID01582,Male,23,Psychology,93.4,0.9,1.9,8.7,7,1.89
