Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
Female,21,Psychology,36.71658,4.6330414,2.2887228,6.2184944,10,2.9889848
Male,21,Business,84.74049,8.083495,2.8104322,7.61763,11,1.6535479
Male,21,Psychology,71.209404,8.037641,3.1365235,5.185324,9,1.674698
Female,20,Business,89.23118,5.5104227,3.472919,6.1068697,10,1.7756504
Male,21,Mathematics,69.62769,7.661281,3.040343,6.0749316,11,2.612278
Female,22,Business,72.027275,9.168187,2.8109896,5.8350945,8,2.4359965
Female,21,Engineering,68.9853,7.4823384,3.0426338,6.9216175,9,2.7654843
Female,20,Engineering,49.372353,7.3846226,2.343216,8.4407015,14,3.1495852
Female,21,Mathematics,62.677433,6.1577535,3.2559533,6.1448836,10,2.8573225
Female,19,Psychology,54.82084,4.1815395,2.0854397,7.19464,11,3.3354154
Male,24,Engineering,53.29589,8.353933,2.4187777,8.63311,12,2.1559894
Male,19,Engineering,51.058544,4.572742,2.1913884,8.288852,13,3.4314444
Male,21,Economics,83.318275,7.089841,2.95791,8.223995,10,1.7226944
Male,21,Psychology,55.031013,9.207911,2.0956836,7.2969723,13,2.5360663
Female,21,Engineering,85.96615,7.0904026,2.566296,8.695809,11,3.2300386
Male,21,Engineering,75.91007,5.72179,3.2982628,9.1312,12,1.8705318
Male,22,Mathematics,80.3499,8.612006,3.1457744,5.346731,15,1.9487653
Female,19,Computer Science,59.576977,4.3525567,2.851778,6.687299,7,3.486712
Female,21,Computer Science,78.37047,6.770854,2.6669843,6.1095524,4,3.2266464
Female,19,Computer Science,81.049446,3.537446,2.601281,7.047722,5,3.5375612
Female,21,Psychology,62.168407,6.616098,2.9081216,4.7682905,8,2.787133
Female,21,Psychology,74.88123,6.763327,2.979045,5.0133467,6,2.1024318
Male,21,Engineering,71.413,10.6569805,2.969562,7.0016384,10,1.644286
Female,20,Psychology,76.46346,7.482314,3.1438816,6.351659,9,2.8572474
Female,20,Psychology,81.482506,6.087826,2.8160255,7.711213,8,2.0386837
Female,19,Computer Science,90.9857,4.091537,3.202412,6.947339,6,2.7299306
Male,23,Mathematics,85.31518,9.306266,2.64479,7.883312,11,1.6845716
Male,22,Psychology,36.76324,9.454335,2.2364845,6.845907,15,3.1119034
Female,20,Computer Science,64.72887,10.481587,3.0939555,5.2391787,6,3.1360226
Female,21,Computer Science,66.34116,10.933168,2.8757985,5.504991,8,3.0269544
Male,22,Computer Science,67.74658,7.895004,3.0297983,5.226166,10,2.0454764
Female,20,Engineering,49.262714,3.250008,2.6966374,7.9970527,8,3.2868698
Female,20,Mathematics,43.54261,6.983978,2.4279811,6.9059057,11,3.3309076
Female,22,Mathematics,77.91474,5.968562,2.6356328,8.130681,10,2.6239157
Male,19,Computer Science,80.6759,4.686654,3.056448,7.0814395,7,2.321003
Female,20,Business,65.86098,5.4878926,3.2634602,6.7099895,6,2.6336107
Male,20,Mathematics,49.302353,6.3563886,2.852016,6.6639805,12,1.787883
Female,20,Computer Science,55.85546,7.6695886,3.0189312,6.9963036,11,3.2582262
Male,23,Psychology,65.65634,9.778221,2.7399483,6.084307,10,1.6555912
Female,21,Business,58.080673,6.9358273,2.685684,7.7320604,8,2.2353244
Female,22,Business,60.31517,8.609156,3.2033563,5.221403,8,1.962775
Female,22,Mathematics,67.35984,7.4915123,2.8999667,6.2118845,12,2.96568
Male,22,Mathematics,79.81372,7.2475758,2.6866271,8.408675,11,2.8210666
Male,21,Economics,78.415764,6.382323,3.2784083,6.9398127,9,1.9689268
Female,20,Economics,59.768196,6.700237,2.2458813,7.838127,12,3.3203924
Male,20,Mathematics,63.569206,5.043894,2.5222893,7.135441,12,1.854783
Female,21,Engineering,45.086166,6.2914443,2.3049657,8.583154,9,3.2709804
Male,24,Mathematics,65.97819,8.594949,2.6331713,8.363535,11,1.5801126
Female,21,Engineering,32.195953,7.793619,1.9478844,7.2671714,7,3.679515
Male,22,Mathematics,54.631794,8.373793,2.2352455,7.9630976,16,2.8909657
Female,20,Computer Science,95.537186,5.566245,3.0148451,5.624364,9,2.4384856
Female,21,Psychology,82.781555,7.967138,2.5142581,6.3249264,8,2.4959328
Female,19,Psychology,43.36879,5.0214243,2.428156,7.787282,10,3.6643465
Male,20,Engineering,55.66664,7.0263042,2.71539,8.065118,10,2.2205899
Male,22,Computer Science,79.56439,11.200175,3.0733883,6.7721863,12,1.4803572
