Age,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Gender_Female,Gender_Male,Major_Business,Major_Computer Science,Major_Economics,Major_Engineering,Major_Mathematics,Major_Psychology
0.5836772,0.42076725,0.6944557,0.37845612,0.3871618,0.4458165,0.62496525,0.32533392,0.48975942,0.29980275,0.67978287,0.42369655,0.37529594,0.5725697,0.6702393
0.18376741,0.4174062,0.5240418,0.3649934,0.67850304,0.60898405,0.6122428,0.6929461,0.6749675,0.32345524,0.56470716,0.71918577,0.4465917,0.4762484,0.5850506
0.63312924,0.44760942,0.55337733,0.652907,0.32516003,0.67141443,0.52755404,0.76961356,0.1407591,0.66701263,0.4589542,0.33077225,0.6822649,0.57723284,0.3891138
0.6948915,0.39021432,0.51276916,0.44688842,0.53343624,0.26082405,0.48357448,0.40795875,0.5594595,0.4536328,0.76953036,0.19883242,0.58300537,0.5345921,0.16662998
0.5680913,0.45296624,0.6448296,0.53076524,0.46525306,0.35756013,0.35662934,0.7393478,0.29014456,0.4905879,0.6757869,0.27216414,0.40773612,0.56956685,0.3208605
0.31346896,0.44359642,0.20572977,0.79771554,0.28348204,0.67940253,0.6617909,0.4303867,0.6068876,0.62362945,0.4629873,0.27955565,0.6310107,0.21814421,0.72474754
0.53541166,0.33625326,0.5429103,0.5320508,0.488286,0.29907292,0.514428,0.56675744,0.2965263,0.48601493,0.5439108,0.31234574,0.6686323,0.6081494,0.19445612
0.7407701,0.4892907,0.2861233,0.6323116,0.11015996,0.44574332,0.65613776,0.35480312,0.56963396,0.7778692,0.5566736,0.41100416,0.5828667,0.39666304,0.52643514
0.5953093,0.47635144,0.78715235,0.41130662,0.6565581,0.09674948,0.21731001,0.49934226,0.78037465,0.3025083,0.84665823,0.6067952,0.42600155,0.38571706,0.43820783
0.7297389,0.5217215,0.44389296,0.6912692,0.4774897,0.62426925,0.25968763,0.80371475,0.41059288,0.69947,0.2207729,0.55884504,0.6413365,0.4974895,0.5325105
0.31902194,0.7392423,0.4682443,0.4952778,0.6979529,0.4889727,0.31319422,0.43538836,0.2704401,0.38817576,0.4282036,0.32731885,0.52431947,0.6961136,0.16861992
0.29734144,0.51757187,0.5739277,0.40332976,0.70542073,0.5366371,0.36308405,0.5594278,0.5096177,0.55624473,0.34284422,0.8234071,0.35537508,0.73386854,0.25291932
0.4212589,0.5519608,0.65804654,0.367275,0.5779584,0.5001571,0.41819224,0.679928,0.17334123,0.2949397,0.3912905,0.5935013,0.62018204,0.5693972,0.71392256
0.20630983,0.3677018,0.52338415,0.36921304,0.6942327,0.61345303,0.4660313,0.76693624,0.22116095,0.6514245,0.13874613,0.8418102,0.62610614,0.5807302,0.4461807
0.31883797,0.43694848,0.45149893,0.46541798,0.4977559,0.45434326,0.34715882,0.6770266,0.27225032,0.32235304,0.6267163,0.43311003,0.45509672,0.5042591,0.43868715
0.64886653,0.39021128,0.32999521,0.65286326,0.24723555,0.7138643,0.74054015,0.4589777,0.3924863,0.8001678,0.30689022,0.20668805,0.6293106,0.5114842,0.29913294
0.45673445,0.31712824,0.50783366,0.42008165,0.2904146,0.29110014,0.43648413,0.32460976,0.7162004,0.46199265,0.83358604,0.6472345,0.36107042,0.32320458,0.5640107
0.65606046,0.3418118,0.490827,0.40362108,0.5588045,0.72217613,0.7856204,0.73454297,0.14660758,0.687393,0.29509017,0.15623163,0.608541,0.6303952,0.23058124
0.2603705,0.5137132,0.4002461,0.32210386,0.5939303,0.5798925,0.47165874,0.69346184,0.21097335,0.4620276,0.34061044,0.6244183,0.61513567,0.37560767,0.58242744
0.5610857,0.6012735,0.50191355,0.30829513,0.55981374,0.3794127,0.6438369,0.4105695,0.43261132,0.6840633,0.22304337,0.51049966,0.61690676,0.6159881,0.2863446
0.6744666,0.3371464,0.6300512,0.225542,0.4768654,0.38383707,0.8536457,0.7574634,0.59121674,0.6051987,0.5278103,0.21802917,0.52952087,0.5065472,0.4888074
0.5759621,0.8437284,0.41895464,0.7066334,0.6502419,0.7031262,0.20780738,0.32934663,0.46391878,0.5453501,0.35310382,0.6457173,0.52656317,0.63125235,0.37971753
0.6065492,0.74783486,0.51950353,0.56142944,0.69380206,0.37927836,0.30625603,0.5795333,0.5561662,0.47327998,0.48104912,0.67505735,0.64667505,0.41774783,0.43186262
0.19820441,0.42196536,0.5786281,0.3057228,0.7122305,0.3248795,0.65727955,0.6955603,0.4784032,0.4840002,0.4419541,0.3219808,0.6100443,0.43604833,0.31190217
0.7537425,0.42589822,0.34597272,0.44117683,0.34933054,0.5456174,0.6673082,0.56216663,0.43243545,0.7127055,0.33271644,0.18892993,0.59255344,0.44729018,0.3086566
0.6186769,0.28957522,0.6854348,0.44039255,0.5454643,0.28456828,0.22178358,0.26403067,0.7426779,0.39787963,0.5845315,0.7334035,0.25900328,0.6178535,0.33642983
0.5676445,0.73562664,0.6500015,0.6774079,0.631283,0.3767363,0.10058942,0.47606465,0.55488384,0.37260753,0.5401102,0.8067182,0.55234534,0.47573948,0.41295335
0.77053005,0.19652149,0.43652117,0.54104066,0.24355659,0.44015017,0.56925464,0.32627037,0.69543976,0.52452695,0.66061085,0.62069523,0.39757502,0.3790728,0.5410203
0.39768067,0.67547965,0.26734725,0.7663013,0.49822348,0.67161983,0.40595528,0.30555415,0.62372464,0.43387505,0.30261835,0.4826855,0.55007225,0.38638908,0.58414036
0.38197163,0.52205604,0.4329389,0.44046712,0.55235225,0.7185415,0.51536083,0.43062454,0.28733,0.6513335,0.34122637,0.75628036,0.51646763,0.577997,0.50179106
0.40118313,0.49581915,0.19529839,0.53785443,0.32784104,0.763138,0.646613,0.3860174,0.460265,0.43485403,0.56342214,0.5580123,0.40450445,0.367036,0.6469108
0.5577926,0.5974558,0.37067035,0.5242241,0.2856413,0.21313533,0.6156894,0.36915857,0.84362465,0.5961943,0.67605996,0.6867375,0.46979517,0.34556735,0.5588315
0.38826743,0.51058483,0.6655739,0.50432944,0.45439106,0.5612328,0.5448556,0.71231383,0.4142845,0.5538754,0.632172,0.20803234,0.5712453,0.63690275,0.24033363
0.42885602,0.40228954,0.3860583,0.51871574,0.35072467,0.4704724,0.419681,0.32982418,0.7182193,0.56560177,0.45803133,0.7568743,0.55467254,0.35635027,0.41892
0.34181625,0.36992997,0.4936273,0.4146741,0.5766528,0.26425916,0.57460576,0.7490906,0.7665322,0.42537275,0.51806915,0.57617724,0.58273184,0.5375408,0.44092715
0.26428622,0.31782123,0.7102469,0.14620459,0.85176206,0.35516536,0.38812613,0.317047,0.28951776,0.45167756,0.32854322,0.760415,0.35513622,0.7455313,0.18673266
0.5376153,0.4773401,0.65254366,0.3567799,0.58866507,0.5192532,0.69470257,0.78425634,0.26109752,0.597764,0.49474388,0.32039484,0.45772177,0.590786,0.47507563
0.34117436,0.60290825,0.75443566,0.40237588,0.7049322,0.27769473,0.62899,0.42247546,0.6634845,0.29743075,0.40249923,0.8288388,0.51572144,0.6305681,0.5943289
0.56382287,0.58732647,0.32863772,0.57941276,0.32369408,0.5676954,0.5091394,0.19745886,0.47340113,0.6232865,0.40513322,0.7231842,0.5144337,0.5408146,0.2585726
0.642475,0.56569993,0.71011883,0.47405636,0.73053735,0.41296995,0.27521065,0.5283276,0.46746242,0.6368376,0.21522604,0.7423523,0.46997994,0.5647846,0.4731038
0.66403925,0.5103644,0.30568334,0.63146764,0.20999824,0.5398036,0.5964145,0.1934266,0.6210124,0.4798087,0.6832497,0.5053568,0.3299968,0.42937806,0.7323443
0.49013606,0.4979825,0.41413936,0.6187075,0.418299,0.6611575,0.62833524,0.56848526,0.46325025,0.6937191,0.22826879,0.5030743,0.6528437,0.32751116,0.6549589
0.35780615,0.741682,0.31439486,0.65310335,0.6353039,0.3678558,0.60961175,0.39384326,0.6273158,0.38898522,0.25670293,0.4826628,0.6570233,0.41314128,0.5507379
