Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID00818,Male,20,Mathematics,56.2,9.0,2.32,8.6,12,3.12
ID04153,Female,20,Psychology,92.9,5.0,3.09,6.2,6,2.12
ID02629,Male,20,Economics,70.1,8.1,2.1,8.8,8,1.82
ID02369,Female,21,Business,89.3,11.3,2.79,6.6,11,2.32
ID04061,Female,23,Psychology,52.2,11.1,3.03,7.8,10,2.81
ID00784,Female,21,Mathematics,69.7,3.9,1.6,6.6,9,2.17
ID00680,Female,20,Psychology,75.9,8.3,3.36,6.7,7,3.0
ID02146,Male,22,Economics,68.7,11.0,2.59,6.1,5,2.72
ID03370,Female,21,Economics,82.4,4.6,3.39,7.1,12,1.46
ID00012,Female,21,Psychology,49.4,11.0,2.51,7.0,14,3.4
ID04913,Female,20,Business,63.2,8.4,3.15,5.8,9,3.54
ID03274,Male,20,Engineering,43.3,9.9,2.53,5.9,11,1.77
ID04585,Male,22,Engineering,63.1,7.8,3.21,5.6,7,2.3
ID04167,Male,22,Engineering,52.1,8.1,3.1,8.6,6,2.65
ID01397,Female,23,Psychology,71.2,7.2,2.51,7.9,4,3.54
ID00322,Male,22,Engineering,46.4,4.4,2.41,7.5,8,3.07
ID02720,Female,21,Engineering,75.6,5.8,3.1,6.6,13,3.48
ID04280,Female,20,Mathematics,67.4,5.5,2.94,6.7,12,3.84
ID03573,Male,22,Computer Science,68.5,8.2,2.15,5.9,8,2.33
ID00180,Male,22,Economics,51.3,6.5,2.45,7.8,8,2.81
ID01567,Female,22,Mathematics,69.6,6.2,2.37,6.0,10,2.46
ID03567,Male,21,Psychology,60.5,5.1,2.43,7.7,8,2.7
ID04580,Male,20,Psychology,69.5,7.4,2.26,8.9,10,2.07
ID02220,Female,21,Mathematics,51.8,4.6,1.88,7.2,13,2.69
ID01617,Male,20,Mathematics,50.1,7.5,1.86,6.4,13,2.54
ID03783,Female,22,Business,58.7,4.2,2.8,7.4,6,2.91
ID04972,Male,21,Psychology,75.1,4.0,2.44,6.0,8,2.09
ID02665,Female,22,Business,71.8,6.7,2.31,5.2,8,2.31
ID04206,Male,23,Economics,95.9,7.3,3.02,9.6,12,3.04
ID02684,Female,21,Engineering,88.9,10.5,2.39,7.9,11,3.6
ID02724,Female,23,Business,75.5,3.8,2.42,8.6,5,2.71
ID01181,Female,21,Economics,61.7,6.5,3.18,4.7,10,2.38
ID04442,Male,21,Computer Science,70.0,7.7,2.47,7.1,15,2.46
ID01513,Female,21,Computer Science,77.0,6.1,2.37,7.3,6,2.93
ID02604,Female,22,Psychology,65.5,9.1,3.13,7.9,4,2.93
ID01006,Female,21,Engineering,77.4,6.0,2.86,6.1,12,1.67
ID04771,Female,20,Business,60.2,4.5,2.62,8.1,6,3.03
ID01085,Female,21,Mathematics,54.8,6.5,2.64,8.7,17,2.81
ID03600,Female,21,Economics,72.5,7.1,2.93,6.7,9,2.05
ID01750,Female,22,Engineering,69.9,6.7,3.09,7.6,13,3.35
ID04373,Female,20,Computer Science,70.4,7.4,2.44,6.7,14,3.19
ID01188,Female,20,Economics,55.6,9.5,1.56,6.5,7,3.29
ID03672,Female,20,Computer Science,69.6,5.1,2.68,8.0,10,3.4
ID00822,Female,20,Mathematics,65.4,4.1,2.65,6.6,10,2.45
ID02579,Male,20,Computer Science,49.8,4.7,2.31,7.2,10,2.68
ID04832,Male,20,Engineering,56.7,6.6,2.07,8.0,9,2.63
ID01296,Male,20,Business,70.3,9.2,3.64,5.6,5,2.25
ID02121,Male,21,Engineering,58.3,9.1,2.88,5.7,13,3.67
ID03891,Male,22,Psychology,44.4,2.4,2.31,6.6,17,2.44
ID02957,Male,21,Computer Science,55.9,4.9,3.42,6.1,8,2.79
ID02782,Female,23,Engineering,68.0,2.6,2.27,6.7,5,1.76
ID02478,Female,20,Business,43.8,10.7,2.62,7.2,9,2.1
ID00526,Male,21,Psychology,50.8,5.4,2.26,7.8,9,3.26
ID01771,Male,22,Business,80.1,5.5,2.72,6.2,8,2.31
ID02167,Male,20,Business,53.9,4.6,3.18,7.2,17,2.19
ID04482,Female,21,Psychology,66.7,12.0,2.81,6.7,11,3.38
ID00342,Female,21,Mathematics,56.8,11.4,2.13,7.8,11,2.08
ID00381,Male,20,Economics,65.5,6.8,3.27,6.4,13,2.19
ID01862,Female,21,Engineering,81.5,4.2,2.75,7.7,10,3.41
ID00508,Male,21,Mathematics,72.5,6.5,2.64,6.6,10,1.93
